slang,baku
keluarnegeri,keluar negeri
dimalaysia,di malaysia
smpai,sampai
mgkn,mungkin
kbnykn,kebanyakan
kbur,kabur
nnti,nanti
mkan,makan
negaraan,kenegaraan
dikalangan,di kalangan
depanmu,depan mu
bps,bps
dolo,dulu
atw,atau
kerna,karena
engk,tidak
ngaco,ngaco
pny,punya
gdp,gdp
lpk,lpk
sni,sni
oot,oot
ramenya,ramainya
alhamdulilah,alhamdulillah
kasi,kasih
asik,asyik
adlh,adalah
thr,thr
cariin,carikan
ketipu,tertipu
kliatan,kelihatan
dluar,di luar
njir,anjir
brarti,berarti
kerisis,krisis
disuru,disuruh
psti,pasti
sekolahin,sekolahkan
wkwkwkwk,hahaha
enaknya,enaknya
ngebenerin,membenarkan
ja,saja
nilep,korupsi
maksa,memaksa
rmp,rmp
seharunya,seharusnya
nyumbang,menyumbang
mlarat,melarat
tol,tol
dibulying,di-bully
dibikin,dibuat
gtu,begitu
taunya,tahunya
nawarin,menawarkan
mnding,mending
dikasi,diberi
ba,ba
kemaren,kemarin
dipalakin,dipungut
ssorg,seseorang
noh,noh
ampir,hampir
cuy,cuy
gapapa,tidak apa-apa
fyi,fyi
skd,skd
wo,wo
mul,mul
apbn,apbn
lhoh,lho
ojol,ojek online
ngutang,berhutang
imho,imho
dprd,dprd
wkwkk,hahaha
kalsel,kalimantan selatan
dapetnya,dapatnya
ngikutin,mengikuti
gegara,gara-gara
ngebayangin,membayangkan
alesan,alasan
musti,harus
biarlah,biarkan
ngajar,mengajar
ngonten,membuat konten
didenger,didengar
krj,kerja
stuju,setuju
ngarepin,mengharapkan
lucunya,lucunya
luu,lu
keknya,kayaknya
hmm,hmm
liatnya,lihatnya
tengkyu,terima kasih
sodara,saudara
fasum,fasilitas umum
klean,kalian
nganggep,menganggap
komplain,komplain
abg,abang
banggg,bang
op,op
wujudin,wujudkan
ngebuka,membuka
alah,alah
ajh,saja
ngidupin,menghidupi
riliss,rilis
dy,dia
